project,issue_number,issue_type,text,classification,indicator
camel,10060,comment_2,"Yes, actually, I didn't want to use it, it's the camel-core test-jar, that is included transitively by several modules in test scope, that requires package scanning (making integration tests fail). I reported it also to understand if the same technique of package scanning is used elsewhere for some core feature.",non_debt,-
camel,10060,comment_4,Thanks for the PR,non_debt,-
camel,10060,description,"When custom converters are included in a spring-boot nested jar, and the corresponding declares just the package containing the converters (not their full class names), spring-boot is not able to find them. Eg. whenever you include the camel-core *test-jar* in a spring-boot application, the application crashes with the attached exception. This happens only when the application is packaged and launched with `java -jar everything works if the application is not packaged. I experienced the same behavior with a sample module created ad hoc. The problem is related to package scanning, when names are used in the descriptor there are no problems.",non_debt,-
camel,10060,summary,Cannot scan package to find custom converters,non_debt,-
camel,10144,comment_0,"This is a generic problem with Salesforce, so the solution is to follow the REST principle of ignoring unknown fields altogether. This behaviour will be common to JSON and XML and will avoid future issues where running code breaks in production because Salesforce decided to add fields from new APIs in responses to older API versions.",non_debt,-
camel,10144,comment_1,Fixed on branches master and camel-2.17.x,non_debt,-
camel,10144,comment_2,"The fix doesn't seem to be working. As part if this fix the annotation = true) was added to the base class ""AbstractDTOBase"" Unfortunately this annotation has not been defined as ""@Inherited"" and thus is not inherited by the sub classes. Maybe this annotation should be added to ""sobject-pojo.vm"" so that it gets added to each of the generated classes",non_debt,-
camel,10144,comment_3,"Interesting point about the {{@Inherited}} annotation, but the effect seems to be that it's being inherited. Try removing the annotation from {{AbstractDTOBase}} and running the test it should fail without the annotation on the base class. This is on both _master_ and _camel-2.17-x_ branches even though they use different version of jackson.",non_debt,-
camel,10144,comment_4,"Never looked into RestResources. Let me check why that works. I suspect something to do with XStream VS Jackson processing Now what I did look into and tested, was user generated DTO . So, for example, if I create a DTO for say Account sObject and then somebody, later on, adds a new, say, a custom field, to Account, the deserialization fails. If the annotation is added to the generated class rather then the base class, deserialization passes.",non_debt,-
camel,10144,comment_5,"I ran the test after commenting out the field and it ran without any errors. If the annotation didn't work in the base class, the missing field would have caused the test to fail. BTW, the field does return a non-default {{true}} value when it's present in the class. Try your test by commenting out an existing field from the generated Account DTO. Not sure why that case would be different from when a new Salesforce field is added, but give it a shot.",non_debt,-
camel,10144,comment_6,You are right. Its working as expected. Not sure why though :( Please ignore,non_debt,-
camel,10144,description,"Salesforce adds fields to even after an API has been released. This needs to be handled in the component by ignoring unknown properties for that type. XStream doesn't support doing this for an single DTO, but it can be done for all types by using It will make it ignore all unknown properties for all inbuilt DTOs as wells user generated ones. But since the XML payload is less popular, hopefully this behavior won't be an issue.",non_debt,-
camel,10144,summary,Salesforce keeps breaking backward compatibility by adding fields to older API versions,non_debt,-
camel,1014,comment_0,Damm in ExpressionType everything is more or less @XmlTransient,non_debt,-
camel,1014,comment_1,"Is this really needed? Don't we use ExpressionType in the Spring DSL already? For instance, I just used it in the ExceptionType... Maybe I'm missing something obvious here :)",non_debt,-
camel,1014,comment_2,"Yeah sort of, you had to add a new class HandledPredicate to get it in the XSD for the onException. If we need it in other areas as well we have to add new classes there as well. There might be something we can do generally. If not then .. well then we gotta add the needed classes.",non_debt,-
camel,1014,comment_3,"Ah, I think I get it. You'd like to have a reusable JAXB class for creating an expression in an element, like: instead of including say the expression type directly Make sense?",non_debt,-
camel,1014,comment_4,I just committed a fix for this. Now to get something like this You need to add this to your model class:,non_debt,-
camel,1014,comment_5,Closing 1.5 issues,non_debt,-
camel,1014,description,None,non_debt,-
camel,1014,summary,ExpressionType is missing in Spring DSL,non_debt,-
camel,10153,comment_0,Looks like in master the spring version for spring-dm is already extended and a separate spring-dm module is extracted. So I think it makes sense to limit the camel-cxf spring version to reflect the camel-spring limitations like you propose in the description. For later camel version we then seem to have a path to work with higher spring versions.,non_debt,-
camel,10153,description,"Camel 2.17.x upgraded spring version to 4.x in most of the components. but for camel-cxf component, it still has to use spring-dm and spring version 3.x, the spring version range in the Import-Package should keep [3.2,4), not [4.1,5). Now the ERROR will happen when install camel-cxf feature into karaf container (in case of both Spring 4.x and Spring 3.x are installed in the container) To fix it, make change to the pom.xml",architecture_debt,using_obsolete_technology
camel,10153,summary,"[Camel-cxf] the spring version range in the Import-Package should be [3.2,4)",non_debt,-
camel,1018,comment_0,Patch replaced with the one based on the latest svn revision.,non_debt,-
camel,1018,comment_1,Applied patch with thanks to Balazs. Also updated the wiki page.,non_debt,-
camel,1018,comment_2,Closing 2.0m1 tickets,non_debt,-
camel,1018,description,"Imagine a use case when the target systems, where http messages have to be sent to, are maintained in a database. In that case the http uri is cannot be set in the camelcontext but it should come from the header of the message. So the http client should check first if there is an uri in the header and if not than use the one given in the camelcontext (like for querystring).",non_debt,-
camel,1018,summary,camel http Uri from the message header,non_debt,-
camel,10273,comment_2,Thanks for the PR,non_debt,-
camel,10273,description,"If a custom configuration for the ThreadPool is passed, the correspondent JMX object is not published. The issue here is that enableJmx(), that adds the mbeans listeners is called only after setThread method, so this explains how come the threadpool is not exposed on JMX. I've put a simple PR that just adds a check for {{enableJmx}} flag at component level, but I wonder if I should make it smarter to take in account possible settings only at Endpoint level or instead if we should remove it the flag per Endpoint altogether.",non_debt,-
camel,10273,summary,[Jetty] missing jmx object if custom thread pool is used,non_debt,-
camel,10291,comment_2,Thanks for the PR :-),non_debt,-
camel,10291,description,At the moment the RabbitMQ component is does not map the timestamp of a message appropriately. The outbound mapping (producer) expects the timestamp of the camel message is of type String whereas the String is just the long value representing the timestamp. However the timestamp is already a java.util.Date when the producer just forwards a message from a rabbitmq consumer as the timestamp is already a java.util.date as define in The provided pull request provides a compatible change. So it still keeps the old behaviour as fallback so that the long value is evaluated if the provided data is not a java.util.Date,non_debt,-
camel,10291,summary,Camel RabbitMQ invalid handling of message timestamp,non_debt,-
camel,10362,comment_0,"Nicola, I wonder if you get these errors also?",non_debt,-
camel,10362,comment_1,I missed it. Checking now.,non_debt,-
camel,10362,comment_2,no problems with these tests now.,non_debt,-
camel,10362,description,CamelNagiosTest CamelJiraTest fails locally if you run them in,non_debt,-
camel,10362,summary,itest-spring-boot - Nagios and Jira fails locally,non_debt,-
camel,10376,comment_1,Thanks for the PR,non_debt,-
camel,10376,description,"Instead of selecting implementation method, {{bridge method}} is used. We faced an issue with conversion of parameter when {{bean}} implements generic interface. For example having {{bean}} implementation like this: would lead to {{beanInfo}} containing {{Method}} with signature in {{methodMap}} This is not correct as conversion of parameter is not possible in this case. I could find an issue with the same problem that was previously fixed (CAMEL-8940), but later on it was broken with CAMEL-9656 (commit 5639b78).",non_debt,-
camel,10376,summary,BeanInfo#introspect does not work correctly with bridge methods,non_debt,-
camel,10420,description,"Poms are auto-generated in the starters. We should remove the ""add dependency"" logic from the maven plugin and allow custom edits to the starter poms. Additional dependencies should be declared in the poms, as well as test dependencies.",non_debt,-
camel,10420,summary,camel-xxx-starter - Allow custom changes to the pom.xml files,non_debt,-
camel,10444,comment_0,A github PR is welcome,non_debt,-
camel,10444,description,Since release 2.18 MongoDB component does not return a header with key constant) after completing operations update and delete. This is a breaking change but can easily be patched in MongoDbProducer class. It's probably more a bug report rather than feature request depending on if the change was by design.,non_debt,-
camel,10444,summary,Return header with key from update and remove operations,non_debt,-
camel,10476,comment_0,Thanks for detailed description. I'll have a look at the end of this week.,non_debt,-
camel,10476,comment_1,Let me know if I can provide any more information or if something isn't clear. I also was able to successfully test the workaround and I can run locally(in an IDE) using java:exec with the same properties file that the unit tests load by overriding and reading that config file. The only thing I am not confident in with the workaround is the difference between running in a DefaultCamelContext vs a in the IDE.,design_debt,non-optimal_design
camel,10476,comment_2,"The problem is field. Or rather the fact that it's not set in All JUnit tests (extending from by default use which returns {{true}}. When you simply do {{mvn clean test}}, neither {{target/classes}} nor contain file which is necessary to treat the location as ""bundle"" to be picked up in That's why in JUnit tests, explicit bundle is created using Only this method does the ""initial configadmin file"" trick (see for details). When running using {{mvn clean camel:run}} you'll simply get Gave up waiting for service because no ""bundle"" provides your blueprint XML descriptor. You need at least {{mvn clean package camel:run}}, so you have these ""bundles"" installed by felix-connect (a bundle with blueprint descriptor is #1): When running under JUnit, you have (a bundle with blueprint descriptor is #0): If both was {{true}} and we used {{mvn package}}, we'd have *two* bundles with blueprint descriptor. Manifest from (created by Manifest from (created by This is a reason of some problems we had when running JUnit tests *after* {{mvn ... package}}. So the solution should be to perform the ""initial configadmin file"" trick when running with {{mvn camel:run}} and without {{camel:run}} should pick up a bundle containing blueprint descriptor which was created by {{mvn package}} Also we should prevent using two bundles containing the same descriptors. I already have an idea.",non_debt,-
camel,10476,comment_3,"Because {{mvn camel:run}} is *not* a test, for such scenarios, should always equal to {{false}}. That's why I'll separate ""test bundle"" and a ""trick bundle"" that initializes configadmin before running blueprint.",non_debt,-
camel,10476,comment_4,"Ah, one more thing. creates TinyBundle without header. Thus explicitly uses: which eventually translates to And because {{mvn camel:run}} doesn't set setting {{descriptors}} or doesn't make sense with {{<useBlueprint>}} == {{true}}.",non_debt,-
camel,10476,comment_5,Fixed in: * * * * There were already and but all of them explicitly used: Now I've added which calls,non_debt,-
camel,10476,description,"Problem: When running with a Camel Blueprint project a configAdminFile is not used to populate propertyplacehoders in when exectued with So a user can't run camel locally in a similar way to running in Karaf with file based property placeholder values. Workaround: I think, but haven't tested yet, that you can work around this locally using the methods described here: and/or how this solution appears to use exec:java locally and loads the properties via To reproduce the problem: Create a new project using (You need to change the log4j config to make it run.) To reduce the time, I created a project that runs here: Instead of using a default in the blueprint XML for the I setup the POM to include the following: In Camel 2.15.2 or earlier, this file would be loaded when mvn camel:run was invoked and the properties would be available via the PID at run time. After the changes made in CAMEL-9313, it appears that the method is only called in when the createTestBundle pathway is taken in java.lang.String, boolean, java.lang.String, java.lang.String, java.lang.String, So it appears test using get this functionality (as shown by the tests) but things executed from camel:run do not. Here you can see in Camel 2.14 that call to is made after the bundelContext is created. In the master branch version, that call is no longer made from main after the context is returned. I made a change locally to add a similar call to in Camel 2.18: Here is the output of the log statement from the example before this change: Here is the output of the log statement from the example after this change: As you can see before the change, the ${greeting} property is not poplulated via propertyplacehoder. After the change it is replaced. Given all the discussion of timing related issues in CAMEL-9313, I'm hesitant to say this is a good enough solution or that it aligns with the intention of the changes made in that fix. Given that configAdminFileName and configAdminPid are passed into perhaps the call to should happen inside createBundleContext or one of it sub-methods. Overall, I ""think"" a user should be able to use the configAdminPid and configAdminFileName settings to load properties via camel:run rather than work aound it, but I could be persumptious there.",design_debt,non-optimal_design
camel,10476,summary,configAdminFile not used to populate property placeholders in when run via camel-maven-plugin,non_debt,-
camel,10477,comment_2,This upgrade frequently causes CrossRef:,non_debt,-
camel,10477,comment_5,jruby is deprecated so lets leave it as-is,non_debt,-
camel,10477,description,"Upgrade {{jruby}} to {{v1.7.26}} Note: this requires to explicitly set in test, while in used in multithread envs.",non_debt,-
camel,10477,summary,[jruby] Upgrade to 1.7.26,non_debt,-
camel,10500,description,"By default, JGit behaves differently than native git allowing empty commits. This first change is to add a new option to the GitEndpoint to be able to turn that option to false. I let it default to ""true"" in a first move to have backward compatibility but suggest we could default to ""false"" to match native git behaviour (git commit --allow-empty) This will raise an exception for empty commits, may be a silent mode to log warn would be a better option rather than doing error handling in camel.",non_debt,-
camel,10500,summary,Camel-Git: Add allowEmpty commits option,non_debt,-
camel,10507,comment_1,We dont need a JIRA for internal refactorings like this.,non_debt,-
camel,10507,description,"Addressing the issue raised in the review, Jackson TypeReferences should be declared constant.",code_debt,low_quality_code
camel,10507,summary,Make TypeReference inline anonymous classes constant,non_debt,-
camel,10517,comment_2,Thanks for the PR,non_debt,-
camel,10517,description,None,non_debt,-
camel,10517,summary,Remove unnecessary SuppressWarnings,code_debt,low_quality_code
camel,10563,comment_0,Need to add better handling for hz instance cleanup,code_debt,low_quality_code
camel,10563,description,None,non_debt,-
camel,10563,summary,camel-hazelcast: add an option to provide a custom configuration (custom Config object or configuration file location),non_debt,-
camel,10575,comment_0,Commits related to this issue break wildfly-camel integration CrossRef:,non_debt,-
camel,10575,comment_1,"this may be expected as you now need to register the POJOs you want to de-serialize, test have been updated too. ping me if you need any help",non_debt,-
camel,10575,description,None,non_debt,-
camel,10575,summary,snakeyaml: add an option to filter classes the yaml parser can construct,non_debt,-
camel,10629,comment_0,Done for - camel-core - a..s components,non_debt,-
camel,10629,description,We have fine grained details on each endpoint options. But the component options dont have @UriParam etc and are therefore often not labeled or have secure = true|false. We should add those using @Metadata annotation on the component level so we have that for the component docs and for tooling,non_debt,-
camel,10629,summary,Add labels to component level options,non_debt,-
camel,10668,comment_0,This is a bit tricker as its EIP configuration. But it would be good to do this for other things like error handler etc.,non_debt,-
camel,10668,comment_1,Should we do the same for ServiceCall ? I can work on both later on if needed,non_debt,-
camel,10668,comment_2,Yeah that would be good too,non_debt,-
camel,10668,comment_3,question: should any additional custom conf inherit from the default ? i.e. : So the conf on the route inherit from myconf which inherit from the deault one.,non_debt,-
camel,10668,comment_4,My initial thought would be yes. What do you think? Or how does it work today?,non_debt,-
camel,10668,comment_5,"I do not remember such a hierarchy, as far as I remember it stops on the first parent but make sense to have such inheritance possible",non_debt,-
camel,10668,description,"It would be nice if we could allow to configure camel-hystrix and ServiceCall using spring boot auto configuration, eg from the / yml file. Then you can easily set a global configured timeout, and those other hystrix configurations. And with this we get tooling support which can show documentation at your finger tips. This should be global configuration, which you can override in your camel routes if you setup a local hystrix configuration there.",non_debt,-
camel,10668,summary,Hystrix / ServiceCall - Allow to configure global configuration,non_debt,-
camel,10678,description,We should use each individual fields instead of a string field eg use fields - from - to - name - model As individual fields. And use name as the index field if its intended to be unique. This allows users to better query/browse the registry from JMX as well to find which transformers there is. Also remember to adjust the code in the jolokia command.,design_debt,non-optimal_design
camel,10678,summary,Transformer registry JMX,non_debt,-
camel,1068,comment_0,Commited by CAMEL-1112 Sending Sending Adding Sending Transmitting file data ..... Committed revision 721719.,non_debt,-
camel,1068,comment_1,Closing 2.0m1 tickets,non_debt,-
camel,1068,description,We have some URI options to set some regexp for filtering files. But good old java.io.FileFilter should be there as well for end-users to use. And also add an option for using Camel predicate's for filtering file names. This only applies for the file consumer of course.,non_debt,-
camel,1068,summary,file component - option to set a ref for a java.io.FileFilter,non_debt,-
camel,1070,comment_0,Closing 2.0m1 tickets,non_debt,-
camel,1070,description,I must use if Instead of if { As the latter always returns false. Or at least returns false even though the size is > 0,non_debt,-
camel,1070,summary,- hasAttachments is buggy,non_debt,-
camel,10716,description,"There is a check in the that checks if the configured version is at least 34.0, this check wrongly reports an error if the version is configured exactly at 34.0.",non_debt,-
camel,10716,summary,Salesforce Composite API wrongly checks for minimum supported version,non_debt,-
camel,10758,comment_0,See nabble,non_debt,-
camel,10758,description,None,non_debt,-
camel,10758,summary,camel-ahc - Upgrade to newer version,non_debt,-
camel,10806,comment_4,Thx,non_debt,-
camel,10806,description,A we have now it would be nice to have a RxJava 2 implementation of the API,non_debt,-
camel,10806,summary,Create camel-rxjava2 component,non_debt,-
camel,10924,comment_0,There is a RuntimeCamelCatalog now in camel-core that has validation API based on the components that are on the classpath.,non_debt,-
camel,10924,description,None,non_debt,-
camel,10924,summary,PingCheck API : Support validation through JMX,non_debt,-
camel,10927,comment_1,Jakub I granted your user karma to self assign tickets. There is some more comments on the PR before its ready. But great work and good to see your contribute source code to Camel as well,non_debt,-
camel,10927,description,Add implementation that uses a Kafka topic as a log.,non_debt,-
camel,10927,summary,Add Kafka topic-based,non_debt,-
camel,10950,comment_0,Are you working on a PR?,non_debt,-
camel,10950,comment_1,"Yep - just testing some mods now, so will hopefully have a PR ready soon. I'll assign this issue to myself.",non_debt,-
camel,10950,description,"One of the drawbacks with the docker-java library used in the camel-docker component is that it depends on Jersey for the JAX-RS client. This can be problematic if you already have another JAX-RS implementation on the classpath. Therefore, it'd be nice if you could specify the that you want to work with. By default it'd be but you could choose to use the if you wanted to avoid Jersey. Similarly, users could implement their own and have camel-docker load this when it comes to build the Docker client.",design_debt,non-optimal_design
camel,10950,summary,Enable camel-docker configuration to accept a custom,non_debt,-
camel,10983,comment_1,Thanks for the PR,non_debt,-
camel,10983,description,"An extra white space in blueprint xml (e.g. {{<to uri="" sql:select * from eng""/ while spring throws relevant exception",non_debt,-
camel,10983,summary,Fail early and show meaningful log for invalid endpoint URI in Blueprint,non_debt,-
camel,10996,comment_0,we need a SMX bundle of this new version also,non_debt,-
camel,10996,comment_1,Already done Need to wait for the end of the month.,non_debt,-
camel,10996,description,None,non_debt,-
camel,10996,summary,camel-kafka - Upgrade to 0.10.2.0,non_debt,-
camel,11052,comment_0,You are welcome to work on a github PR,non_debt,-
camel,11052,comment_1,Thanks . I've started working on a patch. Can this issue be assigned to me?,non_debt,-
camel,11052,comment_2,Kieran sounds good. You cannot assign ticket as that is for committers and users whom have contribured more patches. Its fine with a comment here that you work on this. Lets us know how it goes,non_debt,-
camel,11052,comment_4,Merged to master from,non_debt,-
camel,11052,description,"When using WsImport, the structure of the generated Exception class for SOAP Faults have only a two arg constructor generated ie: However in the code is trying to get a reference to the single argument constructor, before it tries to find/use the two argument constructor, which would cause a to be thrown as no such constructor exits on the class. The solution is to move the variable inside the catch block. So we try to get/use the two arg constructor and if that fails then we try to get/use the single argument constructor, which is the real logic of that try/catch block anyway.",non_debt,-
camel,11052,summary,throwing exception when using JAXB/JAX-WS generated code,non_debt,-
camel,1107,comment_0,Will be fixed in a patch for other issues,non_debt,-
camel,1107,comment_1,I have also added httpClient.XXX options configuration of camel-jetty as well,non_debt,-
camel,1107,comment_2,Closing 2.0m1 tickets,non_debt,-
camel,1107,description,"When using the options to configure httpClient using URI option, they should be removed from the uri that is left over to the HTTPProducer. should remove the httpClient.xxx so it's",code_debt,dead_code
camel,1107,summary,camel-http - does not remove httpClient.xxx URI options,non_debt,-
camel,11104,comment_0,Use the user forum or user mailing list to ask for help,non_debt,-
camel,11104,comment_1,Already put on user mailing list,non_debt,-
camel,11104,comment_2,and don't open the same issue two times.,non_debt,-
camel,11104,description,"We have implemented a camel route where we are having camel sftp producer to transfer a files to remote SFTP location but on performance testing on client environment and on our local environment we have observed degradation in the time for transferring files to remote SFTP location. Please find the detailed analysis below. The we tried the various test in our local environment. In each test we put around 22 files on camel file consumer and each file took below time to write the file. PFB details When target directory having 20,000 files. Camel sftp producer took around 1 minute 43 second to a transfer file DEBUG 07:00:38 (Camel thread #6 - INFO 07:00:38 (Camel thread #6 - INFO 07:00:38 (Camel thread #6 - DEBUG 07:00:38 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:20 (Camel thread #6 - DEBUG 07:02:20 (Camel thread #6 - INFO 07:02:20 (Camel thread #6 - When target directory having 40,000 files. Camel sftp producer took around 3 minute 17 second to transfer file DEBUG 07:47:23 (Camel thread #6 - using exchange: INFO 07:47:23 (Camel thread #6 - from IOP FTP directory INFO 07:47:23 (Camel thread #6 - : to ICOMS FTP directory DEBUG 07:47:23 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:41 (Camel thread #6 - DEBUG 07:50:41 (Camel thread #6 - INFO 07:50:41 (Camel thread #6 - Similarly when we achieved the files from target directory. It took around 6 sec.It seems like there is a performance issue with camel sftp component. Does it list the files in target directory which is taking time. PFB the producer route which we set up",code_debt,slow_algorithm
camel,11104,summary,Performance issue in camel sftp,non_debt,-
camel,1112,comment_0,I had sort of planned to do some refactorings of the file consumer in 2.0 so it would gather the list of files to consume before consuming. This would allow to resort the list based on certain out-of-the-box settings and of course also allow end users to provide their own sorting implementation. And also filter and finnaly to have a headers with total number of files and the current file number. In summary: - sorting - filtering - headers with index and total number of files,non_debt,-
camel,1112,comment_1,"Wiki documentation needed for file component: - idempotent options *DONE* - headers with current index and total *DONE* - important camel 2.0 changes *DONE* - file filter options *DONE* - file sorter options *DONE* - out of box file sorters for: by name, by timestamp, etc. *DONE* - idempotent sample *DONE* - file filter sample *DONE* - file sorter sample *DONE* - file sortBy sample *DONE* - sort by: ignore case option *DONE*",documentation_debt,outdated_documentation
camel,1112,comment_2,The new idempotent options is CAMEL-1099,non_debt,-
camel,1112,comment_4,Revision #721798 Committed by davsclaus at 30-11-08 12:36:04 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy),non_debt,-
camel,1112,comment_5,Revision #721801 Committed by davsclaus at 30-11-08 12:53:27 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy),non_debt,-
camel,1112,comment_6,Closing 2.0m1 tickets,non_debt,-
camel,1112,description,"when reading files from file,ftp/sftp component, it is often neccesarry to get the files in a predifined order (e.g. created date or filename). to solve this, an extra uri parameter could be used, to set the order of files beeing processed. ordering can be done after reading the file-list. i know this can also be solved by applying a resequencer pattern in the route, but i think for large files it would be hard to apply this. also a processing in an created date order would be more natural.",design_debt,non-optimal_design
camel,1112,summary,add orderby to file/ftp/sftp component to get files in a reliable order (e.g. created date),non_debt,-
camel,11171,description,"component has an issue with the usage of {{RAW()}} function in child endpoint configuration. will mishandle the the content of {{RAW()}} , when at some point the escaped ampersand symbol is unescaped, and a wrong set of parameters is used. The attached PR fixed the issues and adds a unit test to verify the behavior before and after the fix.",test_debt,low_coverage
camel,11171,summary,- RAW() and child endpoint issue,non_debt,-
camel,11196,comment_0,"We should also make it easy to reuse an existing connector and have separate configuration, eg so the same user can use a twitter-connector and then configure it for user A and user B in the same application without configuration clashes. Today the component level would reuse the same component / configuration. So we may want to find a way to clone a component or whatever we can think of. A little bit of problem is the generated spring boot auto configuration which is hard-coded to one prefix.",design_debt,non-optimal_design
camel,11196,comment_1,"We may generate something like: Then the spring boot auto-configuration would: - register and configure the component with ``component-name`` component as usual - register and configure number of bean according to the configuration map of the same type of the ``component-name`` but registered with a different name so that they can be referenced by name as usual but with properties inherited from component-name (or maybe not) Of course the drawback is that the [my-component] won't get auto-completed y IDEs but this solution would give a good flexibility and you can get the name of the supported parameters, theirs default and the doc from the root configuration.",non_debt,-
camel,11196,comment_2,It may be useful to look again at the old CAMEL-10031.,non_debt,-
camel,11196,comment_3,Taken to do some experiments,non_debt,-
camel,11196,description,"A Camel connector can be configured on two levels - component - endpoint Just like a regular Camel component. But we should allow users to configure a connector in one place, and not worry about if its component or endpoint level. And then let camel-connector when it prepares the connector figure out all of this for you. This may require supporting loading configuration from external resource files such as .properties files etc. Or something else. But from end users we can make this easier.",design_debt,non-optimal_design
camel,11196,summary,Camel connectors - Allow to configure in one place and let it figure out component vs endpoint level,non_debt,-
camel,1123,comment_0,Closing 2.0m1 tickets,non_debt,-
camel,1123,description,This could be bad if 3-SNAPSHOT ever gets removed (the build will break). ServiceMix has a version of commons-csv without this SNAPSHOT dependency. I'm going to try switching to that one.,non_debt,-
camel,1123,summary,commons-csv contains SNAPHSOT dependency,non_debt,-
camel,11282,description,We should extend the plain DefaultComponent (the is deprecated) ensure there is a plain default no-arg constructor so it makes using and configuring components easier. See eg SO If it was just a plain no-arg constructor then the bean style would have worked.,design_debt,non-optimal_design
camel,11282,summary,Camel components should extend DefaultComponent,non_debt,-
camel,11299,comment_0,This is also a problem with camel-jetty,non_debt,-
camel,11299,description,"Camel does not generating the options answer for all routes defined using component servlet, ex: For /v1/customers the request OPTIONS return 200 OK but for /v1/customers/1 the request OPTIONS return 404 not found.",non_debt,-
camel,11299,summary,Camel Rest DSL Does Not Creating OPTIONS routes for defined routes,non_debt,-
camel,112,comment_0,See test case,non_debt,-
camel,112,description,See thread:,non_debt,-
camel,112,summary,JMSXGroupID is not copied across ActiveMQ endpoints,non_debt,-
camel,1138,comment_0,This is *fixed in 2.0* as we have removed all this troublesome code. For 1.5.1 I suggest to replace the noopMap with the LRUCahce Map so it keeps up till 1000 files and nothing more.,non_debt,-
camel,1138,comment_1,These maps is part of some code logic to determine if the file has been changed using timestamp and filesize checks. All this code has been @deprecated and removed in 2.0. It leads to unexpected behavior and is hard to test. And shouldn't generally be used. If you use file connectivity then you should either delete or move files after they are processed and not keep then around. As a fix for this in 1.5.1 I have added the LRUCache so the maps will contain at most 1000 elements.,design_debt,non-optimal_design
camel,1138,comment_3,Hadrian is the current quick fix okay?,non_debt,-
camel,1138,comment_4,"I think so. It actually solves the leak problem. The side effect is that if a file is not moved/renamed after 1000 other entries/files it will disappear from the lru cache and look new again and get reprocessed, which may also lead to an infinite loop (that would make another one of those 1000+ files new/out of cache, and so on). However I don't think this scenario is a valid one as it has other flaws, such as the fact that the state is lost after a camel restart, so files would get processed again in that case too (a comment in the code mentions that, actually). I would add a warn in the wiki that not renaming/moving files is a dangerous scenario and should not be used.",design_debt,non-optimal_design
camel,1138,comment_5,I think we can close this issue.,non_debt,-
