project,text,classification
apache-ant-1.7.0,"/** XXX I really don't like this - the XML processor is still
             * too 'involved' in the processing. A better solution (IMO)
             * would be to create UE for Project and Target too, and
             * then process the tree and have Project/Target deal with
             * its attributes ( similar with Description ).
             *
             * If we eventually switch to ( or add support for ) DOM,
             * things will work smoothly - UE can be avoided almost completely
             * ( it could still be created on demand, for backward compatibility )
             */",code/design_debt
apache-ant-1.7.0,// JUnit 4 wraps solo tests this way. We can extract // the original test name with a little hack.,code/design_debt
apache-ant-1.7.0,// XXX ignore attributes in a different NS ( maybe store them ? ),code/design_debt
apache-ant-1.7.0,//borrowed from TokenFilterTest,code/design_debt
apache-ant-1.7.0,// XXX Move to Project ( so it is shared by all helpers ),code/design_debt
apache-ant-1.7.0,// What is the property supposed to be?,code/design_debt
apache-ant-1.7.0,"// PR: Hack for ant-type value //  an ant-type is a component name which can // be namespaced, need to extract the name // and convert from qualified name to uri/name",code/design_debt
apache-ant-1.7.0,// there's a convenient xsltc class version but data are // private so use package information,code/design_debt
apache-ant-1.7.0,// stolen from org.apache.xerces.impl.XMLEntityManager#getUserDir() // of the Xerces-J team // which ASCII characters need to be escaped,code/design_debt
apache-ant-1.7.0,// bingo append it. (this should normally not be done here),code/design_debt
apache-ant-1.7.0,// This is faintly ridiculous:,code/design_debt
apache-ant-1.7.0,//cannot remove underscores due to protected visibility >:(,code/design_debt
apache-ant-1.7.0,"// TODO not read, yet in a public setter",code/design_debt
apache-ant-1.7.0,//  PR: I do not know what to do if the object class //      has multiple defines //      but this is for logging only...,code/design_debt
apache-ant-1.7.0,// not sure what could be the need of this...,code/design_debt
apache-ant-1.7.0,// XXX: (Jon Skeet) Any reason for writing a message and then using a bare // RuntimeException rather than just using a BuildException here? Is it // in case the message could end up being written to no loggers (as the // loggers could have failed to be created due to this failure)?,code/design_debt
apache-ant-1.7.0,"// Experimental/Testing, will be removed",code/design_debt
apache-ant-1.7.0,// XXX should instead make a new ProtectionDomain with a CodeSource // corresponding to container.toURI().toURL() and the same // PermissionCollection as Project.class.protectionDomain had,code/design_debt
apache-ant-1.7.0,//this is really irritating; we need a way to set stuff,code/design_debt
apache-ant-1.7.0,//XXX // All this to convert source to destination directory according // to weblogic standards Can be written better... this is too hacky!,code/design_debt
apache-ant-1.7.0,//silly hack to avoid stack overflow...,code/design_debt
apache-ant-1.7.0,"// -------------------- Access to property tables  -------------------- // This is used to support ant call and similar tasks. It should be // deprecated, it is possible to use a better (more efficient) // mechanism to preserve the context.",code/design_debt
apache-ant-1.7.0,// XXX - should throw an exception instead?,code/design_debt
apache-ant-1.7.0,// Temporary - until we figure a better API,code/design_debt
apache-ant-1.7.0,"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.",code/design_debt
apache-ant-1.7.0,// quick fix for Ant.java use of property before // initializing the project,code/design_debt
apache-ant-1.7.0,// XXX: we should use JCVS (www.ice.com/JCVS) instead of // command line execution so that we don't rely on having // native CVS stuff around (SM),code/design_debt
apache-ant-1.7.0,"/*
             * two reasons are mentioned in the API docs for File.list
             * (1) dir is not a directory. This is impossible as
             *     we wouldn't get here in this case.
             * (2) an IO error occurred (why doesn't it throw an exception
             *     then???)
             */",code/design_debt
apache-ant-1.7.0,"/**
 * Jakarta Commons Logging listener.
 * Note: do not use the SimpleLog as your logger implementation as it
 * causes an infinite loop since it writes to System.err, which Ant traps
 * and reroutes to the logger/listener layer.
 *
 * The following names are used for the log:
 *  org.apache.tools.ant.Project.PROJECT_NAME  - for project events
 *  org.apache.tools.ant.Target.TARGET_NAME - for target events
 *  TASK_CLASS_NAME.TARGET_NAME - for events in individual targets.
 *
 * In all target and project names we replace ""."" and "" "" with ""-"".
 *
 * TODO: we should use the advanced context logging features (and expose them
 * in c-l first :-)
 * TODO: this is _very_ inefficient. Switching the out and tracking the logs
 * can be optimized a lot - but may require few more changes to the core.
 *
 * @since Ant 1.5
 */",code/design_debt
apache-ant-1.7.0,"//     * @TODO using taskName here is brittle, as a user could override it. //     *       this should probably be modified to use the classname instead.",code/design_debt
apache-ant-1.7.0,"//these are pathological cases, but retained in case somebody //subclassed us.",code/design_debt
apache-ant-1.7.0,"/*
                 * This is a rather hairy case.
                 *
                 * One of our subclasses knows that we need to update the
                 * archive, but at the same time, there are no resources
                 * known to us that would need to be added.  Only the
                 * subclass seems to know what's going on.
                 *
                 * This happens if <jar> detects that the manifest has changed,
                 * for example.  The manifest is not part of any resources
                 * because of our support for inline <manifest>s.
                 *
                 * If we invoke createEmptyZip like Ant 1.5.2 did,
                 * we'll loose all stuff that has been in the original
                 * archive (bugzilla report 17780).
                 */",code/design_debt
apache-ant-1.7.0,// This is deprecated - use classespath in the future,code/design_debt
apache-ant-1.7.0,//XXX  this array stuff is a remnant of prev trials.. gotta remove.,code/design_debt
apache-ant-1.7.0,"/**
     * Set the number of milliseconds leeway to give before deciding a
     * target is out of date.
     * TODO: This is not yet used.
     * @param granularity the granularity used to decide if a target is out of
     *                    date.
     */",code/design_debt
apache-ant-1.7.0,"// This may change, if we add advanced parsing capabilities.",code/design_debt
apache-ant-1.7.0,"// We assume, that every output, jikes does, stands for an error/warning // XXX // Is this correct?",code/design_debt
apache-ant-1.7.0,"// The line below is a hack: the system id must an URI, but it is not // cleat to get the URI of an resource, so just set the name of the // resource as a system id",code/design_debt
apache-ant-1.7.0,// XXX what is the following doing? //     should it run if !javadoc4 && executable != null?,code/design_debt
apache-ant-1.7.0,"// MAC OS 9 and previous //TODO: I have no idea how to get it, someone must fix it",code/design_debt
apache-ant-1.7.0,//TODO: nothing appears to read this but is set using a public setter.,code/design_debt
apache-ant-1.7.0,// XXX - we are committing CombiningChar and Extender here,code/design_debt
apache-ant-1.7.0,"/*
                 * XXX - failed to load the class properly.
                 *
                 * should we print a warning here?
                 */",code/design_debt
apache-ant-1.7.0,// XXX could perhaps also call thread.stop(); not sure if anyone cares,code/design_debt
apache-ant-1.7.0,"/**
         * XXX
         * Perhaps we shouldn't use properties for these
         * three options (emacs mode, warnings and pedantic),
         * but include it in the javac directive?
         */",code/design_debt
apache-ant-1.7.0,// XXX maybe use reflection to addPathElement (other patterns ?),code/design_debt
apache-ant-1.7.0,// TODO there is a problem with the constructor for the RBC. // you have to provide the rules in the constructors - no setters // available.,code/design_debt
apache-ant-1.7.0,"// probably not the best choice, but it solves the problem of // relative paths in CLASSPATH",code/design_debt
apache-ant-1.7.0,// Fix for invalid characters. If you think of more add to the list.,code/design_debt
apache-ant-1.7.0,"/*
             * fallback in case we have trouble loading the class or
             * don't know how to handle it (there is no easy way to
             * know what IDL mode would generate.
             *
             * This is supposed to make Ant always recompile the
             * class, as a file of that name should not exist.
             */",code/design_debt
apache-ant-1.7.0,// Check it out; also ugly.,code/design_debt
apache-ant-1.7.0,//I can't get my head around this; is encoding treatment needed here?,code/design_debt
apache-ant-1.7.0,"//quick & dirty, to make nested mapped p-sets work:",code/design_debt
apache-ant-1.7.0,// XXX is this code still necessary? is there any 1.2+ port? // Pull in *.zip from packages directory,code/design_debt
apache-ant-1.7.0,// only: the developer knows what (s)he is doing,code/design_debt
apache-ant-1.7.0,"// XXX Unfortunately JDK1.2 adds entrySet(), keySet(), values() - // implementing this requires a small hack, we can add it later.",code/design_debt
apache-ant-1.7.0,// first: developer could use a little help,code/design_debt
apache-ant-1.7.0,// XXX - should throw an exception instead?,code/design_debt
apache-ant-1.7.0,// XXX - should throw an exception instead?,code/design_debt
apache-ant-1.7.0,// XXX - should throw an exception instead?,code/design_debt
apache-ant-1.7.0,// XXX     should we silently catch possible exceptions and try to //         load a different implementation?,code/design_debt
apache-ant-1.7.0,// XXX     should we silently catch possible exceptions and try to //         load a different implementation?,code/design_debt
apache-ant-1.7.0,"// since Java 1.4 //return normalizedPath.split(""/""); // workaround for Java 1.2-1.3",code/design_debt
apache-ant-1.7.0,// HAMMER // end inline mainGTU,code/design_debt
apache-ant-1.7.0,"/**
     * This array really shouldn't be here.
     * Again, for historical purposes it is.
     *
     * <p>FIXME: This array should be in a private or package private
     * location, since it could be modified by malicious code.</p>
     */",code/design_debt
apache-ant-1.7.0,"// Should move to a separate public class - and have API to add // listeners, etc.",code/design_debt
apache-ant-1.7.0,"// """" should become a single empty argument, same for '' // PR 5906",code/design_debt
apache-ant-1.7.0,// not very nice but will do the job,code/design_debt
apache-ant-1.7.0,// provide public visibility,code/design_debt
apache-ant-1.7.0,"// not used, but public so theoretically must remain for BC?",code/design_debt
apache-ant-1.7.0,// super.validateAttributes(); // don't want to call this method,code/design_debt
apache-ant-1.7.0,// XXX what is this for?,code/design_debt
apache-ant-1.7.0,"// We keep this, so we have something to delete in later tests :-)",code/design_debt
apache-ant-1.7.0,// *************  copied from ConcatTest  *************,code/design_debt
apache-ant-1.7.0,"// not sure whether this is clean, but this method is // declared not to throw exceptions.",code/design_debt
apache-ant-1.7.0,"// We just set the prefix for this fileset, and pass it up. // Do we need to do this? LH",code/design_debt
apache-ant-1.7.0,//why do we do nothing?,code/design_debt
apache-ant-1.7.0,"// // We have to deal with assembly!!! // The programmer can be writing little 32 byte chunks for all // we know, and we must assemble complete records for writing. // REVIEW Maybe this should be in TarBuffer? Could that help to // eliminate some of the buffer copying. //",code/design_debt
apache-ant-1.7.0,"// This is the new, better way - use classespath instead // of sourcespath.  The code is currently the same - you // need class files in a directory to use this or jar files.",code/design_debt
apache-ant-1.7.0,"// XXX - why not simply new File(dir, filename)?",code/design_debt
apache-ant-1.7.0,// This is ugly; checking for the root folder.,code/design_debt
apache-ant-1.7.0,//TODO: Parameterise ?? //Call compiler as class... dont want to fork again //Use classic compiler -- can be parameterised?,code/design_debt
apache-ant-1.7.0,"//XXX // All this to get package according to weblogic standards // Can be written better... this is too hacky! // Careful.. similar code in scanDir , but slightly different!!",code/design_debt
apache-ant-1.7.0,//stolen from writeManifest,code/design_debt
apache-ant-1.7.0,"/* If the jarfile already exists then whack it and recreate it.
             * Should probably think of a more elegant way to handle this
             * so that in case of errors we don't leave people worse off
             * than when we started =)
             */",code/design_debt
apache-ant-1.7.0,// XXX is the following really necessary? it is in the same thread group...,code/design_debt
apache-ant-1.7.0,// we have to find a cleaner way to put this output,code/design_debt
apache-ant-1.7.0,// This is the old way and is deprecated - classespath is // the right way to do this and is above,code/design_debt
apache-ant-1.7.0,// For Script example that modifies id'ed tasks in other // targets to work. *very* Ugly // The reference is replaced by RuntimeConfigurable,code/design_debt
apache-ant-1.7.0,// don't call super.close() because that reader is used // on other places ...,code/design_debt
apache-ant-1.7.0,// report error if something weird happens...this is diagnostic.,code/design_debt
apache-ant-1.7.0,// sorry - otherwise we will get a ClassCastException because the MockCache // is loaded by two different classloader ...,code/design_debt
apache-ant-1.7.0,"// ***HACK*** We ask the VM to create an instance // by voluntarily providing illegal arguments to force // the VM to run the class' static initializer, while // at the same time not running a valid constructor.",code/design_debt
apache-ant-1.7.0,"// Singleton for now, it may change ( per/classloader )",code/design_debt
apache-ant-1.7.0,// XXX - shouldn't this always return false in isolated mode?,code/design_debt
apache-ant-1.7.0,//TO DO : delete the file if it is not a valid file.,requirement_debt
apache-ant-1.7.0,"/**
 * TODO:
 * comment field doesn't include all options yet
 */",requirement_debt
apache-ant-1.7.0,//TO DO : delete the file if it is not a valid file.,requirement_debt
apache-ant-1.7.0,"/**
     * This method checks the timestamp on each file listed in the <code>
     * ejbFiles</code> and compares them to the timestamp on the <code>jarFile
     * </code>.  If the <code>jarFile</code>'s timestamp is more recent than
     * each EJB file, <code>true</code> is returned.  Otherwise, <code>false
     * </code> is returned.
     * TODO: find a way to check the manifest-file, that is found by naming convention
     *
     * @param ejbFiles Hashtable of EJB classes (and other) files that will be
     *                 added to the completed JAR file
     * @param jarFile  JAR file which will contain all of the EJB classes (and
     *                 other) files
     * @return         boolean indicating whether or not the <code>jarFile</code>
     *                 is up to date
     */",requirement_debt
apache-ant-1.7.0,// Have to think about lazy initialization here...  JHM // comparator = new java.text.RuleBasedCollator();,requirement_debt
apache-ant-1.7.0,"/**
 * TODO:
 * comment field doesn't include all options yet
 */",requirement_debt
apache-ant-1.7.0,//TODO no methods yet for getClassname //TODO no method for newInstance using a reverse-classloader,requirement_debt
apache-ant-1.7.0,"/*
     * The displayName variable stores the value of the ""display-name"" element
     * from the standard EJB descriptor.  As a future enhancement to this task,
     * we may determine the name of the EJB JAR file using this display-name,
     * but this has not be implemented yet.
     */",requirement_debt
apache-ant-1.7.0,"/**
 * An output stream that compresses into the BZip2 format (without the file
 * header chars) into another stream.

 * <p>The compression requires large amounts of memory. Thus you
 * should call the {@link #close() close()} method as soon as
 * possible, to force <tt>CBZip2OutputStream</tt> to release the
 * allocated memory.</p>
 *
 * <p>You can shrink the amount of allocated memory and maybe raise
 * the compression speed by choosing a lower blocksize, which in turn
 * may cause a lower compression ratio.  You can avoid unnecessary
 * memory allocation by avoiding using a blocksize which is bigger
 * than the size of the input. </p>
 *
 * <p>You can compute the memory usage for compressing by the
 * following formula:</p>
 * <pre>
 * <code>400k + (9 * blocksize)</code>.
 * </pre>
 * 
 * <p>To get the memory required for decompression by {@link
 * CBZip2InputStream CBZip2InputStream} use</p>
 * <pre>
 * <code>65k + (5 * blocksize)</code>.
 * </pre>
 *
 * <table width=""100%"" border=""1"">
 *  <colgroup>
 *    <col width=""33%"" />
 *    <col width=""33%"" />
 *    <col width=""33%"" />
 *  </colgroup>
 *  <tr>
 *    <th colspan=""3"">Memory usage by blocksize</th>
 *  </tr><tr>
 *    <th align=""right"">Blocksize</th>
 *    <th align=""right"">Compression<br>memory usage</th>
 *    <th align=""right"">Decompression<br>memory usage</th>
 *  </tr><tr>
 *    <td align=""right"">100k</td>
 *    <td align=""right"">1300k</td>
 *    <td align=""right""> 565k</td>
 *  </tr><tr>
 *    <td align=""right"">200k</td>
 *    <td align=""right"">2200k</td>
 *    <td align=""right"">1065k</td>
 *  </tr><tr>
 *    <td align=""right"">300k</td>
 *    <td align=""right"">3100k</td>
 *    <td align=""right"">1565k</td>
 *  </tr><tr>
 *    <td align=""right"">400k</td>
 *    <td align=""right"">4000k</td>
 *    <td align=""right"">2065k</td>
 *  </tr><tr>
 *    <td align=""right"">500k</td>
 *    <td align=""right"">4900k</td>
 *    <td align=""right"">2565k</td>
 *  </tr><tr>
 *    <td align=""right"">600k</td>
 *    <td align=""right"">5800k</td>
 *    <td align=""right"">3065k</td>
 *  </tr><tr>
 *    <td align=""right"">700k</td>
 *    <td align=""right"">6700k</td>
 *    <td align=""right"">3565k</td>
 *  </tr><tr>
 *    <td align=""right"">800k</td>
 *    <td align=""right"">7600k</td>
 *    <td align=""right"">4065k</td>
 *  </tr><tr>
 *    <td align=""right"">900k</td>
 *    <td align=""right"">8500k</td>
 *    <td align=""right"">4565k</td>
 *  </tr>
 * </table>
 *
 * <p>For decompression <tt>CBZip2InputStream</tt> allocates less
 * memory if the bzipped input is smaller than one block.</p>
 *
 * <p>Instances of this class are not threadsafe.</p>
 *
 * <p>
 * TODO:    Update to BZip2 1.0.1
 * </p>
 *
 */",requirement_debt
apache-ant-1.7.0,// XXX - log an error?  throw an exception?,requirement_debt
apache-ant-1.7.0,// TODO: allow user to request the system or no parent,requirement_debt
apache-ant-1.7.0,"//if there was any text before this, add it as a fragment //TODO, this check could be modified to go if pos>prev; //seems like this current version could stick empty strings //into the list",requirement_debt
apache-ant-1.7.0,// XXX add exceptions,requirement_debt
apache-ant-1.7.0,// @todo this is duplicating TestResult information. Only the time is not // part of the result. So we'd better derive a new class from TestResult // and deal with it. (SB),test_debt
apache-ant-1.7.0,// not sure whether this test is needed but cost nothing to put. // hope it will be reviewed by anybody competent,test_debt
apache-ant-1.7.0,"/**
 * TestCases for {@link XSLTProcess} task.
 * XXX merge with {@link XsltTest}?
 * @version 2003-08-05
 */",test_debt
apache-ant-1.7.0,"// doesn't work: Depending on the compression engine used, // compressed bytes may differ. False errors would be // reported. // assertTrue(""File content mismatch"", // FILE_UTILS.contentEquals(project.resolveFile(""expected/asf-logo-huge.tar.bz2""), // project.resolveFile(""asf-logo-huge.tar.bz2"")));",test_debt
apache-ant-1.7.0,"// this is the wrong test if the remote OS is OpenVMS, // but there doesn't seem to be a way to detect it.",test_debt
apache-ant-1.7.0,"//process doesn't die properly under this combination, //thus test fails.  No workaround?",test_debt
apache-ant-1.7.0,"// JUNIT3 test //assertEquals(error, JUnitTestRunner.FAILURES, runner.getRetCode()); //@fixme as of now does not report the original stacktrace. //assertTrue(error, error.indexOf(""thrown on purpose"") != -1);",test_debt
apache-ant-1.7.0,"// The property is an id's thing -- either a property // or a path.  We need to make sure // that the object was created with the given id. // We don't have an adequate way of testing the actual // *value* of the Path object, though...",test_debt
apache-ant-1.7.0,//where oh where has my test case 3 gone?,test_debt
apache-ant-1.7.0,"/** Attribute names and values. While the XML spec doesn't require
     *  preserving the order ( AFAIK ), some ant tests do rely on the
     *  exact order. The following code is copied from AttributeImpl.
     *  We could also just use SAX2 Attributes and convert to SAX1 ( DOM
     *  attribute Nodes can also be stored in SAX2 Attributes )
     *  XXX under JDK 1.4 you can just use a LinkedHashMap for this purpose -jglick
     * The only exception to this order is the treatment of
     * refid. A number of datatypes check if refid is set
     * when other attributes are set. This check will not
     * work if the build script has the other attribute before
     * the ""refid"" attribute, so now (ANT 1.7) the refid
     * attribute will be processed first.
     */",test_debt
apache-ant-1.7.0,// test a process that runs and failed,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// process should abort,non_debt
apache-ant-1.7.0,// user:password@host:/path notation,non_debt
apache-ant-1.7.0,"/* 
         * @param event the build event that is being logged.
         */",non_debt
apache-ant-1.7.0,// only track progress for files larger than 100kb in verbose mode,non_debt
apache-ant-1.7.0,// Element doesn't handle text content,non_debt
apache-ant-1.7.0,"// send ""C0644 filesize filename"", where filename should not include '/'",non_debt
apache-ant-1.7.0,// ClearCase items,non_debt
apache-ant-1.7.0,/* Assign actual codes for the tables. */,non_debt
apache-ant-1.7.0,// -reserved,non_debt
apache-ant-1.7.0,/* size of the central directory   */,non_debt
apache-ant-1.7.0,// gcj doesn't support an extension dir (-extdir) // so we'll emulate it for compatibility and convenience.,non_debt
apache-ant-1.7.0,"// At this point we are probably in failure mode, but // try to use the bare URI as a last gasp",non_debt
apache-ant-1.7.0,// -unreserved,non_debt
apache-ant-1.7.0,"// DataType can have a ""no arg"" constructor or take a single // Project argument.",non_debt
apache-ant-1.7.0,// -out,non_debt
apache-ant-1.7.0,"// b may be 0 for success, //          1 for error, //          2 for fatal error,",non_debt
apache-ant-1.7.0,// Not whitespace - fail,non_debt
apache-ant-1.7.0,// Fall tru,non_debt
apache-ant-1.7.0,// -ndata,non_debt
apache-ant-1.7.0,// C0644 filesize filename - header for a regular file // T time 0 time 0\n - present if perserve time. // D directory - this is the header for a directory.,non_debt
apache-ant-1.7.0,// -version,non_debt
apache-ant-1.7.0,// Fall tru,non_debt
apache-ant-1.7.0,"//wince isn't really 9x, but crippled enough to //be a muchness. Ant doesnt run on CE, anyway.",non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// -nwarn,non_debt
apache-ant-1.7.0,"// if a label has been supplied and it is a revision label, use the raw // the view as the snapshot",non_debt
apache-ant-1.7.0,// Class doesn't have a String constructor but a decent factory method,non_debt
apache-ant-1.7.0,/* total number of entries in      */,non_debt
apache-ant-1.7.0,"// Check for \r, \r\n and \r\r\n // Regard \r\r not followed by \n as two lines",non_debt
apache-ant-1.7.0,"// // Success!  The xml-commons resolver library is // available, so use it. //",non_debt
apache-ant-1.7.0,// it is a new file // set the revision but not the prevrevision,non_debt
apache-ant-1.7.0,"//catch script/ant mismatch with a meaningful message //we could ignore it, but there are likely to be other //version problems, so we stamp down on the configuration now",non_debt
apache-ant-1.7.0,"// don't know the type, should throw exception instead?",non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// char and Character get special treatment - take the first character,non_debt
apache-ant-1.7.0,// do nothing,non_debt
apache-ant-1.7.0,// scan base dirs to build up compile lists only if a // specific classname is not given,non_debt
apache-ant-1.7.0,// write a Properties file in each directory:,non_debt
apache-ant-1.7.0,// **   simple name specified   == parent dir + name,non_debt
apache-ant-1.7.0,// requires version 2 as we are going to store length info // in the data descriptor,non_debt
apache-ant-1.7.0,// the test runner that wrap the dummy formatter that interests us,non_debt
apache-ant-1.7.0,// CheckStyle:VisibilityModifier OFF - bc,non_debt
apache-ant-1.7.0,// First try with Project.,non_debt
apache-ant-1.7.0,// // The ResourceLocation may specify a relative path for its // location attribute.  This is resolved using the appropriate // base. //,non_debt
apache-ant-1.7.0,// Can return null to represent the bootstrap class loader. // see API docs of Class.getClassLoader.,non_debt
apache-ant-1.7.0,/* start of the central directory  */,non_debt
apache-ant-1.7.0,//private static final int GET_ENTRY = 0;,non_debt
apache-ant-1.7.0,// file comment,non_debt
apache-ant-1.7.0,//There were no revisions in this changelog //entry so lets move onto next file,non_debt
apache-ant-1.7.0,//same date if dest timestamp is within granularity of the srcfile,non_debt
apache-ant-1.7.0,"// must be ""add""",non_debt
apache-ant-1.7.0,// ---------------------------------------------------------- // somewhat arbitrary choices that are quite common for shared // installations // -----------------------------------------------------------,non_debt
apache-ant-1.7.0,// EnumeratedAttributes have their own helper class,non_debt
apache-ant-1.7.0,// selectors are implicitly ANDed in DirectoryScanner.  To // revert their logic we wrap them into a <none> selector // instead.,non_debt
apache-ant-1.7.0,"// first off, make sure that we've got a srcdir and destdir",non_debt
apache-ant-1.7.0,"// ZIPs store time with a granularity of 2 seconds, round up",non_debt
apache-ant-1.7.0,// viewpath,non_debt
apache-ant-1.7.0,// ------------------------------------------------------ //   Helper methods - should be in BuildFileTest // -----------------------------------------------------,non_debt
apache-ant-1.7.0,// build the command line from what we got the format is // cleartool lsco [options...] [viewpath ...] // as specified in the CLEARTOOL.EXE help,non_debt
apache-ant-1.7.0,// CheckStyle:VisibilityModifier OFF - bc,non_debt
apache-ant-1.7.0,// Check if list of files to check has been specified,non_debt
apache-ant-1.7.0,// testNoCrash is the test invoked by the captureToSummary's junit task,non_debt
apache-ant-1.7.0,"// if the two substrings are longer than the original, then name // contains address - so reset the name to null",non_debt
apache-ant-1.7.0,//default,non_debt
apache-ant-1.7.0,// log options used,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// -version,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// -nwarn,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// dummy formatter just to catch the error,non_debt
apache-ant-1.7.0,// we don't expect to find this,non_debt
apache-ant-1.7.0,// resolve relative paths through Project,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,//patch file into the fileset,non_debt
apache-ant-1.7.0,// we don't expect to find this,non_debt
apache-ant-1.7.0,// type value,non_debt
apache-ant-1.7.0,"// bit3 set to signal, we use a data descriptor",non_debt
apache-ant-1.7.0,// -c,non_debt
apache-ant-1.7.0,//default,non_debt
apache-ant-1.7.0,//underscores go in front of invalid start chars,non_debt
apache-ant-1.7.0,// use to scan own archive,non_debt
apache-ant-1.7.0,"/**
 * Tests the {@link XSLTProcess} task.
 * XXX merge with {@link StyleTest}?
 * @since Ant 1.5
 */",non_debt
apache-ant-1.7.0,// PR 38370,non_debt
apache-ant-1.7.0,// it is a modified file // set the revision and the prevrevision,non_debt
apache-ant-1.7.0,"/*
             * throw in drive letters
             */",non_debt
apache-ant-1.7.0,//set our parent dir,non_debt
apache-ant-1.7.0,"/*
             * promised to eliminate consecutive slashes after drive letter.
             */",non_debt
apache-ant-1.7.0,// -c,non_debt
apache-ant-1.7.0,"/*
             * promised to eliminate consecutive slashes after drive letter.
             */",non_debt
apache-ant-1.7.0,// -cfile,non_debt
apache-ant-1.7.0,// avoid multiple configurations,non_debt
apache-ant-1.7.0,/** Version to use for addXXX and addConfiguredXXX */,non_debt
apache-ant-1.7.0,// PR 38370,non_debt
apache-ant-1.7.0,// Compare the destination with the temp file,non_debt
apache-ant-1.7.0,// PR 38370,non_debt
apache-ant-1.7.0,// -cfile,non_debt
apache-ant-1.7.0,// PR 38370,non_debt
apache-ant-1.7.0,// SMTP auth only allowed with MIME mail,non_debt
apache-ant-1.7.0,// All three specified and all three exist -> true,non_debt
apache-ant-1.7.0,// -cfile,non_debt
apache-ant-1.7.0,// Can return null to represent the bootstrap class loader. // see API docs of Class.getClassLoader.,non_debt
apache-ant-1.7.0,// an address to send from is required,non_debt
apache-ant-1.7.0,// File is not found in specified filepath,non_debt
apache-ant-1.7.0,// set the character set if not done already (and required),non_debt
apache-ant-1.7.0,"// 2 is != 0 and even, so it is considered // failure on any platform currently supported // by Execute#isFailure.",non_debt
apache-ant-1.7.0,// CheckStyle:MemberNameCheck ON,non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// Eof has been reached,non_debt
apache-ant-1.7.0,"//decide whether to copy the existing arg set, or //build a new one from the list of all args excluding the special //operations that only we handle",non_debt
apache-ant-1.7.0,// type,non_debt
apache-ant-1.7.0,// CheckStyle:VisibilityModifier OFF - bc,non_debt
apache-ant-1.7.0,"// wait for TIME_OUT/2, there should be about TIME_OUT/2 ms remaining before timeout",non_debt
apache-ant-1.7.0,"/*
                fragments.addElement(value.substring(pos + 1, pos + 2));
                prev = pos + 2;
                */",non_debt
apache-ant-1.7.0,"// Well, no matching constructor.",non_debt
apache-ant-1.7.0,//check that dir and src are incompatible,non_debt
apache-ant-1.7.0,"// OK, try without.",non_debt
apache-ant-1.7.0,// ignore,non_debt
apache-ant-1.7.0,// CheckStyle:VisibilityModifier ON,non_debt
