project,issue_key,section,type,indicator,text
Camel,CAMEL-10291,description,non_debt,-,At the moment the RabbitMQ component is does not map the timestamp of a message appropriately. The outbound mapping (producer) expects the timestamp of the camel message is of type String whereas the String is just the long value representing the timestamp. However the timestamp is already a java.util.Date when the producer just forwards a message from a rabbitmq consumer as the timestamp is already a java.util.date as define in The provided pull request provides a compatible change. So it still keeps the old behaviour as fallback so that the long value is evaluated if the provided data is not a java.util.Date
Camel,CAMEL-10291,summary,non_debt,-,Camel RabbitMQ invalid handling of message timestamp
Camel,CAMEL-10362,comment_0,non_debt,-,"Nicola, I wonder if you get these errors also?"
Camel,CAMEL-10362,comment_1,non_debt,-,I missed it. Checking now.
Camel,CAMEL-10362,comment_2,non_debt,-,no problems with these tests now.
Camel,CAMEL-10362,description,non_debt,-,CamelNagiosTest CamelJiraTest fails locally if you run them in
Camel,CAMEL-10362,summary,non_debt,-,itest-spring-boot - Nagios and Jira fails locally
Camel,CAMEL-10376,comment_1,non_debt,-,Thanks for the PR
Camel,CAMEL-10376,description,non_debt,-,"Instead of selecting implementation method, {{bridge method}} is used. We faced an issue with conversion of parameter when {{bean}} implements generic interface. For example having {{bean}} implementation like this: would lead to {{beanInfo}} containing {{Method}} with signature in {{methodMap}} This is not correct as conversion of parameter is not possible in this case. I could find an issue with the same problem that was previously fixed (CAMEL-8940), but later on it was broken with CAMEL-9656 (commit 5639b78)."
Camel,CAMEL-10376,summary,non_debt,-,BeanInfo#introspect does not work correctly with bridge methods
Camel,CAMEL-10420,description,non_debt,-,"Poms are auto-generated in the starters. We should remove the ""add dependency"" logic from the maven plugin and allow custom edits to the starter poms. Additional dependencies should be declared in the poms, as well as test dependencies."
Camel,CAMEL-10420,summary,non_debt,-,camel-xxx-starter - Allow custom changes to the pom.xml files
Camel,CAMEL-10444,comment_0,non_debt,-,A github PR is welcome
Camel,CAMEL-10444,description,non_debt,-,Since release 2.18 MongoDB component does not return a header with key constant) after completing operations update and delete. This is a breaking change but can easily be patched in MongoDbProducer class. It's probably more a bug report rather than feature request depending on if the change was by design.
Camel,CAMEL-10444,summary,non_debt,-,Return header with key from update and remove operations
Camel,CAMEL-10476,comment_0,non_debt,-,Thanks for detailed description. I'll have a look at the end of this week.
Camel,CAMEL-10476,comment_1,design_debt,non-optimal_design,Let me know if I can provide any more information or if something isn't clear. I also was able to successfully test the workaround and I can run locally(in an IDE) using java:exec with the same properties file that the unit tests load by overriding and reading that config file. The only thing I am not confident in with the workaround is the difference between running in a DefaultCamelContext vs a in the IDE.
Camel,CAMEL-10476,comment_2,non_debt,-,"The problem is field. Or rather the fact that it's not set in All JUnit tests (extending from by default use which returns {{true}}. When you simply do {{mvn clean test}}, neither {{target/classes}} nor contain file which is necessary to treat the location as ""bundle"" to be picked up in That's why in JUnit tests, explicit bundle is created using Only this method does the ""initial configadmin file"" trick (see for details). When running using {{mvn clean camel:run}} you'll simply get Gave up waiting for service because no ""bundle"" provides your blueprint XML descriptor. You need at least {{mvn clean package camel:run}}, so you have these ""bundles"" installed by felix-connect (a bundle with blueprint descriptor is #1): When running under JUnit, you have (a bundle with blueprint descriptor is #0): If both was {{true}} and we used {{mvn package}}, we'd have *two* bundles with blueprint descriptor. Manifest from (created by Manifest from (created by This is a reason of some problems we had when running JUnit tests *after* {{mvn ... package}}. So the solution should be to perform the ""initial configadmin file"" trick when running with {{mvn camel:run}} and without {{camel:run}} should pick up a bundle containing blueprint descriptor which was created by {{mvn package}} Also we should prevent using two bundles containing the same descriptors. I already have an idea."
Camel,CAMEL-10476,comment_3,non_debt,-,"Because {{mvn camel:run}} is *not* a test, for such scenarios, should always equal to {{false}}. That's why I'll separate ""test bundle"" and a ""trick bundle"" that initializes configadmin before running blueprint."
Camel,CAMEL-10476,comment_4,non_debt,-,"Ah, one more thing. creates TinyBundle without header. Thus explicitly uses: which eventually translates to And because {{mvn camel:run}} doesn't set setting {{descriptors}} or doesn't make sense with {{<useBlueprint>}} == {{true}}."
Camel,CAMEL-10476,comment_5,non_debt,-,Fixed in: * * * * There were already and but all of them explicitly used: Now I've added which calls
Camel,CAMEL-10476,description,design_debt,non-optimal_design,"Problem: When running with a Camel Blueprint project a configAdminFile is not used to populate propertyplacehoders in when exectued with So a user can't run camel locally in a similar way to running in Karaf with file based property placeholder values. Workaround: I think, but haven't tested yet, that you can work around this locally using the methods described here: and/or how this solution appears to use exec:java locally and loads the properties via To reproduce the problem: Create a new project using (You need to change the log4j config to make it run.) To reduce the time, I created a project that runs here: Instead of using a default in the blueprint XML for the I setup the POM to include the following: In Camel 2.15.2 or earlier, this file would be loaded when mvn camel:run was invoked and the properties would be available via the PID at run time. After the changes made in CAMEL-9313, it appears that the method is only called in when the createTestBundle pathway is taken in java.lang.String, boolean, java.lang.String, java.lang.String, java.lang.String, So it appears test using get this functionality (as shown by the tests) but things executed from camel:run do not. Here you can see in Camel 2.14 that call to is made after the bundelContext is created. In the master branch version, that call is no longer made from main after the context is returned. I made a change locally to add a similar call to in Camel 2.18: Here is the output of the log statement from the example before this change: Here is the output of the log statement from the example after this change: As you can see before the change, the ${greeting} property is not poplulated via propertyplacehoder. After the change it is replaced. Given all the discussion of timing related issues in CAMEL-9313, I'm hesitant to say this is a good enough solution or that it aligns with the intention of the changes made in that fix. Given that configAdminFileName and configAdminPid are passed into perhaps the call to should happen inside createBundleContext or one of it sub-methods. Overall, I ""think"" a user should be able to use the configAdminPid and configAdminFileName settings to load properties via camel:run rather than work aound it, but I could be persumptious there."
Camel,CAMEL-10476,summary,non_debt,-,configAdminFile not used to populate property placeholders in when run via camel-maven-plugin
Camel,CAMEL-10477,comment_2,non_debt,-,This upgrade frequently causes CrossRef:
Camel,CAMEL-10477,comment_5,non_debt,-,jruby is deprecated so lets leave it as-is
Camel,CAMEL-10477,description,non_debt,-,"Upgrade {{jruby}} to {{v1.7.26}} Note: this requires to explicitly set in test, while in used in multithread envs."
Camel,CAMEL-10477,summary,non_debt,-,[jruby] Upgrade to 1.7.26
Camel,CAMEL-10500,description,non_debt,-,"By default, JGit behaves differently than native git allowing empty commits. This first change is to add a new option to the GitEndpoint to be able to turn that option to false. I let it default to ""true"" in a first move to have backward compatibility but suggest we could default to ""false"" to match native git behaviour (git commit --allow-empty) This will raise an exception for empty commits, may be a silent mode to log warn would be a better option rather than doing error handling in camel."
Camel,CAMEL-10500,summary,non_debt,-,Camel-Git: Add allowEmpty commits option
Camel,CAMEL-10507,comment_1,non_debt,-,We dont need a JIRA for internal refactorings like this.
Camel,CAMEL-10507,description,code_debt,low_quality_code,"Addressing the issue raised in the review, Jackson TypeReferences should be declared constant."
Camel,CAMEL-10507,summary,non_debt,-,Make TypeReference inline anonymous classes constant
Camel,CAMEL-10517,comment_2,non_debt,-,Thanks for the PR
Camel,CAMEL-10517,description,non_debt,-,None
Camel,CAMEL-10517,summary,code_debt,low_quality_code,Remove unnecessary SuppressWarnings
Camel,CAMEL-10563,comment_0,code_debt,low_quality_code,Need to add better handling for hz instance cleanup
Camel,CAMEL-10563,description,non_debt,-,None
Camel,CAMEL-10563,summary,non_debt,-,camel-hazelcast: add an option to provide a custom configuration (custom Config object or configuration file location)
Camel,CAMEL-10575,comment_0,non_debt,-,Commits related to this issue break wildfly-camel integration CrossRef:
Camel,CAMEL-10575,comment_1,non_debt,-,"this may be expected as you now need to register the POJOs you want to de-serialize, test have been updated too. ping me if you need any help"
Camel,CAMEL-10575,description,non_debt,-,None
Camel,CAMEL-10575,summary,non_debt,-,snakeyaml: add an option to filter classes the yaml parser can construct
Camel,CAMEL-10629,comment_0,non_debt,-,Done for - camel-core - a..s components
Camel,CAMEL-10629,description,non_debt,-,We have fine grained details on each endpoint options. But the component options dont have @UriParam etc and are therefore often not labeled or have secure = true|false. We should add those using @Metadata annotation on the component level so we have that for the component docs and for tooling
Camel,CAMEL-10629,summary,non_debt,-,Add labels to component level options
Camel,CAMEL-10668,comment_0,non_debt,-,This is a bit tricker as its EIP configuration. But it would be good to do this for other things like error handler etc.
Camel,CAMEL-10668,comment_1,non_debt,-,Should we do the same for ServiceCall ? I can work on both later on if needed
Camel,CAMEL-10668,comment_2,non_debt,-,Yeah that would be good too
Camel,CAMEL-10668,comment_3,non_debt,-,question: should any additional custom conf inherit from the default ? i.e. : So the conf on the route inherit from myconf which inherit from the deault one.
Camel,CAMEL-10668,comment_4,non_debt,-,My initial thought would be yes. What do you think? Or how does it work today?
Camel,CAMEL-10668,comment_5,non_debt,-,"I do not remember such a hierarchy, as far as I remember it stops on the first parent but make sense to have such inheritance possible"
Camel,CAMEL-10668,description,non_debt,-,"It would be nice if we could allow to configure camel-hystrix and ServiceCall using spring boot auto configuration, eg from the / yml file. Then you can easily set a global configured timeout, and those other hystrix configurations. And with this we get tooling support which can show documentation at your finger tips. This should be global configuration, which you can override in your camel routes if you setup a local hystrix configuration there."
Camel,CAMEL-10668,summary,non_debt,-,Hystrix / ServiceCall - Allow to configure global configuration
Camel,CAMEL-10678,description,design_debt,non-optimal_design,We should use each individual fields instead of a string field eg use fields - from - to - name - model As individual fields. And use name as the index field if its intended to be unique. This allows users to better query/browse the registry from JMX as well to find which transformers there is. Also remember to adjust the code in the jolokia command.
Camel,CAMEL-10678,summary,non_debt,-,Transformer registry JMX
Camel,CAMEL-1068,comment_0,non_debt,-,Commited by CAMEL-1112 Sending Sending Adding Sending Transmitting file data ..... Committed revision 721719.
Camel,CAMEL-1068,comment_1,non_debt,-,Closing 2.0m1 tickets
Camel,CAMEL-1068,description,non_debt,-,We have some URI options to set some regexp for filtering files. But good old java.io.FileFilter should be there as well for end-users to use. And also add an option for using Camel predicate's for filtering file names. This only applies for the file consumer of course.
Camel,CAMEL-1068,summary,non_debt,-,file component - option to set a ref for a java.io.FileFilter
Camel,CAMEL-1070,comment_0,non_debt,-,Closing 2.0m1 tickets
Camel,CAMEL-1070,description,non_debt,-,I must use if Instead of if { As the latter always returns false. Or at least returns false even though the size is > 0
Camel,CAMEL-1070,summary,non_debt,-,- hasAttachments is buggy
Camel,CAMEL-10716,description,non_debt,-,"There is a check in the that checks if the configured version is at least 34.0, this check wrongly reports an error if the version is configured exactly at 34.0."
Camel,CAMEL-10716,summary,non_debt,-,Salesforce Composite API wrongly checks for minimum supported version
Camel,CAMEL-10758,comment_0,non_debt,-,See nabble
Camel,CAMEL-10758,description,non_debt,-,None
Camel,CAMEL-10758,summary,non_debt,-,camel-ahc - Upgrade to newer version
Camel,CAMEL-10806,comment_4,non_debt,-,Thx
Camel,CAMEL-10806,description,non_debt,-,A we have now it would be nice to have a RxJava 2 implementation of the API
Camel,CAMEL-10806,summary,non_debt,-,Create camel-rxjava2 component
Camel,CAMEL-10924,comment_0,non_debt,-,There is a RuntimeCamelCatalog now in camel-core that has validation API based on the components that are on the classpath.
Camel,CAMEL-10924,description,non_debt,-,None
Camel,CAMEL-10924,summary,non_debt,-,PingCheck API : Support validation through JMX
Camel,CAMEL-10927,comment_1,non_debt,-,Jakub I granted your user karma to self assign tickets. There is some more comments on the PR before its ready. But great work and good to see your contribute source code to Camel as well
Camel,CAMEL-10927,description,non_debt,-,Add implementation that uses a Kafka topic as a log.
Camel,CAMEL-10927,summary,non_debt,-,Add Kafka topic-based
Camel,CAMEL-10950,comment_0,non_debt,-,Are you working on a PR?
Camel,CAMEL-10950,comment_1,non_debt,-,"Yep - just testing some mods now, so will hopefully have a PR ready soon. I'll assign this issue to myself."
Camel,CAMEL-10950,description,design_debt,non-optimal_design,"One of the drawbacks with the docker-java library used in the camel-docker component is that it depends on Jersey for the JAX-RS client. This can be problematic if you already have another JAX-RS implementation on the classpath. Therefore, it'd be nice if you could specify the that you want to work with. By default it'd be but you could choose to use the if you wanted to avoid Jersey. Similarly, users could implement their own and have camel-docker load this when it comes to build the Docker client."
Camel,CAMEL-10950,summary,non_debt,-,Enable camel-docker configuration to accept a custom
Camel,CAMEL-10983,comment_1,non_debt,-,Thanks for the PR
Camel,CAMEL-10983,description,non_debt,-,"An extra white space in blueprint xml (e.g. {{<to uri="" sql:select * from eng""/ while spring throws relevant exception"
Camel,CAMEL-10983,summary,non_debt,-,Fail early and show meaningful log for invalid endpoint URI in Blueprint
Camel,CAMEL-10996,comment_0,non_debt,-,we need a SMX bundle of this new version also
Camel,CAMEL-10996,comment_1,non_debt,-,Already done Need to wait for the end of the month.
Camel,CAMEL-10996,description,non_debt,-,None
Camel,CAMEL-10996,summary,non_debt,-,camel-kafka - Upgrade to 0.10.2.0
Camel,CAMEL-11052,comment_0,non_debt,-,You are welcome to work on a github PR
Camel,CAMEL-11052,comment_1,non_debt,-,Thanks . I've started working on a patch. Can this issue be assigned to me?
Camel,CAMEL-11052,comment_2,non_debt,-,Kieran sounds good. You cannot assign ticket as that is for committers and users whom have contribured more patches. Its fine with a comment here that you work on this. Lets us know how it goes
Camel,CAMEL-11052,comment_4,non_debt,-,Merged to master from
Camel,CAMEL-11052,description,non_debt,-,"When using WsImport, the structure of the generated Exception class for SOAP Faults have only a two arg constructor generated ie: However in the code is trying to get a reference to the single argument constructor, before it tries to find/use the two argument constructor, which would cause a to be thrown as no such constructor exits on the class. The solution is to move the variable inside the catch block. So we try to get/use the two arg constructor and if that fails then we try to get/use the single argument constructor, which is the real logic of that try/catch block anyway."
Camel,CAMEL-11052,summary,non_debt,-,throwing exception when using JAXB/JAX-WS generated code
Camel,CAMEL-1107,comment_0,non_debt,-,Will be fixed in a patch for other issues
Camel,CAMEL-1107,comment_1,non_debt,-,I have also added httpClient.XXX options configuration of camel-jetty as well
Camel,CAMEL-1107,comment_2,non_debt,-,Closing 2.0m1 tickets
Camel,CAMEL-1107,description,code_debt,dead_code,"When using the options to configure httpClient using URI option, they should be removed from the uri that is left over to the HTTPProducer. should remove the httpClient.xxx so it's"
Camel,CAMEL-1107,summary,non_debt,-,camel-http - does not remove httpClient.xxx URI options
Camel,CAMEL-11104,comment_0,non_debt,-,Use the user forum or user mailing list to ask for help
Camel,CAMEL-11104,comment_1,non_debt,-,Already put on user mailing list
Camel,CAMEL-11104,comment_2,non_debt,-,and don't open the same issue two times.
Camel,CAMEL-11104,description,code_debt,slow_algorithm,"We have implemented a camel route where we are having camel sftp producer to transfer a files to remote SFTP location but on performance testing on client environment and on our local environment we have observed degradation in the time for transferring files to remote SFTP location. Please find the detailed analysis below. The we tried the various test in our local environment. In each test we put around 22 files on camel file consumer and each file took below time to write the file. PFB details When target directory having 20,000 files. Camel sftp producer took around 1 minute 43 second to a transfer file DEBUG 07:00:38 (Camel thread #6 - INFO 07:00:38 (Camel thread #6 - INFO 07:00:38 (Camel thread #6 - DEBUG 07:00:38 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:19 (Camel thread #6 - DEBUG 07:02:20 (Camel thread #6 - DEBUG 07:02:20 (Camel thread #6 - INFO 07:02:20 (Camel thread #6 - When target directory having 40,000 files. Camel sftp producer took around 3 minute 17 second to transfer file DEBUG 07:47:23 (Camel thread #6 - using exchange: INFO 07:47:23 (Camel thread #6 - from IOP FTP directory INFO 07:47:23 (Camel thread #6 - : to ICOMS FTP directory DEBUG 07:47:23 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:40 (Camel thread #6 - DEBUG 07:50:41 (Camel thread #6 - DEBUG 07:50:41 (Camel thread #6 - INFO 07:50:41 (Camel thread #6 - Similarly when we achieved the files from target directory. It took around 6 sec.It seems like there is a performance issue with camel sftp component. Does it list the files in target directory which is taking time. PFB the producer route which we set up"
Camel,CAMEL-11104,summary,non_debt,-,Performance issue in camel sftp
Camel,CAMEL-1112,comment_0,non_debt,-,I had sort of planned to do some refactorings of the file consumer in 2.0 so it would gather the list of files to consume before consuming. This would allow to resort the list based on certain out-of-the-box settings and of course also allow end users to provide their own sorting implementation. And also filter and finnaly to have a headers with total number of files and the current file number. In summary: - sorting - filtering - headers with index and total number of files
Camel,CAMEL-1112,comment_1,documentation_debt,outdated_documentation,"Wiki documentation needed for file component: - idempotent options *DONE* - headers with current index and total *DONE* - important camel 2.0 changes *DONE* - file filter options *DONE* - file sorter options *DONE* - out of box file sorters for: by name, by timestamp, etc. *DONE* - idempotent sample *DONE* - file filter sample *DONE* - file sorter sample *DONE* - file sortBy sample *DONE* - sort by: ignore case option *DONE*"
Camel,CAMEL-1112,comment_2,non_debt,-,The new idempotent options is CAMEL-1099
Camel,CAMEL-1112,comment_4,non_debt,-,Revision #721798 Committed by davsclaus at 30-11-08 12:36:04 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy)
Camel,CAMEL-1112,comment_5,non_debt,-,Revision #721801 Committed by davsclaus at 30-11-08 12:53:27 CAMEL-1112: Added file language expression based sorting incl. grouping (quite fancy)
Camel,CAMEL-1112,comment_6,non_debt,-,Closing 2.0m1 tickets
Camel,CAMEL-1112,description,design_debt,non-optimal_design,"when reading files from file,ftp/sftp component, it is often neccesarry to get the files in a predifined order (e.g. created date or filename). to solve this, an extra uri parameter could be used, to set the order of files beeing processed. ordering can be done after reading the file-list. i know this can also be solved by applying a resequencer pattern in the route, but i think for large files it would be hard to apply this. also a processing in an created date order would be more natural."
Camel,CAMEL-1112,summary,non_debt,-,add orderby to file/ftp/sftp component to get files in a reliable order (e.g. created date)
Camel,CAMEL-11171,description,test_debt,low_coverage,"component has an issue with the usage of {{RAW()}} function in child endpoint configuration. will mishandle the the content of {{RAW()}} , when at some point the escaped ampersand symbol is unescaped, and a wrong set of parameters is used. The attached PR fixed the issues and adds a unit test to verify the behavior before and after the fix."
Camel,CAMEL-11171,summary,non_debt,-,- RAW() and child endpoint issue
Camel,CAMEL-11196,comment_0,design_debt,non-optimal_design,"We should also make it easy to reuse an existing connector and have separate configuration, eg so the same user can use a twitter-connector and then configure it for user A and user B in the same application without configuration clashes. Today the component level would reuse the same component / configuration. So we may want to find a way to clone a component or whatever we can think of. A little bit of problem is the generated spring boot auto configuration which is hard-coded to one prefix."
Camel,CAMEL-11196,comment_1,non_debt,-,"We may generate something like: Then the spring boot auto-configuration would: - register and configure the component with ``component-name`` component as usual - register and configure number of bean according to the configuration map of the same type of the ``component-name`` but registered with a different name so that they can be referenced by name as usual but with properties inherited from component-name (or maybe not) Of course the drawback is that the [my-component] won't get auto-completed y IDEs but this solution would give a good flexibility and you can get the name of the supported parameters, theirs default and the doc from the root configuration."
Camel,CAMEL-11196,comment_2,non_debt,-,It may be useful to look again at the old CAMEL-10031.
Camel,CAMEL-11196,comment_3,non_debt,-,Taken to do some experiments
Camel,CAMEL-11196,description,design_debt,non-optimal_design,"A Camel connector can be configured on two levels - component - endpoint Just like a regular Camel component. But we should allow users to configure a connector in one place, and not worry about if its component or endpoint level. And then let camel-connector when it prepares the connector figure out all of this for you. This may require supporting loading configuration from external resource files such as .properties files etc. Or something else. But from end users we can make this easier."
Camel,CAMEL-11196,summary,non_debt,-,Camel connectors - Allow to configure in one place and let it figure out component vs endpoint level
